Depth(ft),Block Position(ft),ROP Avg(fph),Total Flow(gpm),Pres Xducer 1(psig),AGRC(api),Hookload Avg(klb),DCWA(klb),DCWX(klb),WOB Avg(klb),Torque Abs Avg(f-kp),DCTA(f-p),DCTX(f-p),DCBA(f-p),DCD(deg),RPM Surface Avg(rpm),Ann Press - EMW(ppg),Temp Annulus(degF),Dens Mud In Avg(ppg),GP_Min_RPM(rpm),GP_Mean_RPM(rpm),GP_Max_RPM(rpm),GP_Tor_Eff(NONE),RPM(rpm),RPM Max(rpm),RPM Min(rpm),StickSlip Ind(NONE),AVGX-M5(g),AVGY-M5(g),AVGZ-M5(g),PEAKX-M5(g),PEAKY-M5(g),PEAKZ-M5(g),DDS Avg X(g),DDS Avg Y(g),DDS Avg Z(g),DDS Peak X(g),DDS Peak Y(g),DDS Peak Z(g),DDS Avg X(g),DDS Avg Y(g),DDS Avg Z(g),DDS Peak X(g),DDS Peak Y(g),DDS Peak Z(g)
    17071.0000,43.7757,70.4188,1048.6610,5740.8608,71.2507,739.9532,16.4500,22.6860,18.1923,19.6169,7272.0000,9012.0000,8102.0000,231.4260,80.1812,13.1122,143.6000,12.6000,66.4041,80.1478,92.9133,82.9412,79.6800,99.0000,36.5000,78,0.2200,0.2000,0.0400,1.0000,1.4000,0.4000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000
    17071.5000,43.2735,69.1151,1048.6610,5718.0596,82.3329,741.4472,12.4960,18.9820,16.7296,15.8405,5674.0000,7190.0000,7404.0000,257.1400,80.2502,13.1174,143.7800,12.6000,70.4905,79.6778,88.2112,88.5294,80.9600,106.0000,63.5000,52,0.2600,0.2200,0.0300,2.6000,2.2000,0.4000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,3.0000,2.0000,1.0000
    17072.0000,42.7533,60.9092,1049.1533,5723.6333,85.3830,742.7563,12.1300,18.4200,15.4134,14.0240,5324.0000,7378.0000,7103.0000,257.1400,80.3279,13.1114,143.7800,12.6000,70.4905,79.6778,88.2112,88.5294,80.6400,90.0000,69.5000,25,0.2000,0.2100,0.0300,1.0000,1.8000,0.4000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,3.0000,2.0000,1.0000
    17072.5000,42.2501,76.2072,1048.6610,5709.9531,80.6870,743.3108,10.8600,18.5700,14.8451,14.5786,4864.0000,6892.0000,6715.0000,154.2840,80.1984,13.1212,143.7800,12.6000,70.4905,79.6778,88.2112,88.5294,81.2800,90.5000,72.5000,22,0.1700,0.1600,0.0300,1.0000,1.4000,0.4000,0.2000,0.4000,0.2000,2.0000,3.0000,1.0000,0.4000,0.2000,0.2000,2.0000,2.0000,1.0000
    17073.0000,41.7568,61.5824,1049.8921,5714.0063,72.5072,744.4073,11.4060,17.9820,13.7712,13.6607,5188.0000,7180.0000,6940.0000,282.8540,80.3279,13.1140,143.7800,12.6000,75.4932,80.6177,85.3775,93.6765,80.0000,84.0000,73.5000,13,0.2300,0.2200,0.0300,3.0000,2.6000,0.4000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,3.0000,2.0000,1.0000
    17073.5000,41.2633,48.5905,1048.9071,5686.6450,78.3866,746.1046,10.7680,17.7720,12.0548,14.7960,5084.0000,6736.0000,5892.0000,308.5680,80.3020,13.1226,143.7800,12.6000,75.4932,80.6177,85.3775,93.6765,80.3200,86.5000,71.5000,19,0.2400,0.2400,0.0300,1.8000,2.2000,0.2000,0.4000,0.4000,0.2000,3.0000,2.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17074.0000,40.7669,65.5682,1048.9071,5676.5107,83.0119,745.8552,10.6420,16.1020,12.2979,14.2511,4768.0000,6544.0000,6387.0000,282.8540,80.3020,13.1245,143.7800,12.6000,73.7056,80.6177,87.0379,91.4706,80.6400,86.0000,75.0000,14,0.2400,0.2400,0.0300,1.4000,2.2000,0.2000,0.4000,0.4000,0.2000,2.0000,3.0000,1.0000,0.4000,0.4000,0.2000,3.0000,2.0000,1.0000
    17074.5000,40.2634,66.7402,1048.6610,5692.2183,87.6835,745.0061,10.2500,16.6320,13.1582,14.7283,4296.0000,6118.0000,6465.0000,257.1400,80.1639,13.1185,143.9600,12.6000,73.7056,80.6177,87.0379,91.4706,80.6400,89.0000,67.5000,27,0.3200,0.3300,0.0300,3.0000,3.8000,0.4000,0.4000,0.4000,0.2000,4.0000,3.0000,1.0000,0.4000,0.4000,0.2000,3.0000,3.0000,1.0000
    17075.0000,39.7555,79.6952,1049.1533,5688.1650,83.4476,743.9651,12.5960,19.4860,14.1883,13.5928,5194.0000,6948.0000,6424.0000,205.7120,80.3279,13.1283,143.9600,12.6000,76.4128,81.0877,85.4299,94.2647,80.6400,89.0000,67.5000,27,0.3000,0.2500,0.0300,2.2000,2.2000,0.2000,0.4000,0.4000,0.2000,3.0000,2.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17075.5000,39.2577,80.0695,1048.6610,5670.4307,81.0983,744.8184,12.9860,19.4400,13.3502,16.1024,5366.0000,7534.0000,6851.0000,231.4260,80.1639,13.0986,143.9600,12.6000,76.4128,81.0877,85.4299,94.2647,78.7200,90.5000,61.0000,37,0.2400,0.2700,0.0300,3.0000,2.2000,0.2000,0.4000,0.4000,0.2000,3.0000,2.0000,1.0000,0.4000,0.4000,0.2000,5.0000,2.0000,1.0000
